DimB_SK,businessname,dbaname,legalowner,namelast,namefirst,address,city,state,zip,property_id,dayphn,Latitude,Longitude,BusinessConcat
3002264,Shabu-Zen,,YOUNG DAE KIM/STEVEN,SZA LLC,Att: Accounta Payable,78   Brighton AVE,Allston,MA,02134,156849,+16177928785,42.350861,-71.060487,Shabu-ZenSZA LLCAtt: Accounta Payable156849
3002265,Shabu-Zen,,"",SZC LLC,Att: Accounta Payable,14  Tyler ST,Boston,MA,02111,170646,+16177928785,42.350861,-71.060487,Shabu-ZenSZC LLCAtt: Accounta Payable170646
3002266,"Shah's Halal Food",,,G & V Restaurant Inc.,Att: Accounts Payable,1124  Boylston ST,Boston,MA,02215,351769,+10000000000,0,0,"Shah's Halal FoodG & V Restaurant Inc.Att: Accounts Payable351769"
3002267,Shake Shack,,,Shake Shack Enterprises LLC,Attn: Compliance Administrator,77  Seaport BLVD,Boston,MA,02210,350786,+16465176145,0,0,Shake ShackShake Shack Enterprises LLCAttn: Compliance Administrator350786
3002268,Shake Shack,,,Shake Shack Enterprises LLC,Attn: Compliance Administrator,234  Newbury ST,Boston,MA,02116,353890,+16465176145,0,0,Shake ShackShake Shack Enterprises LLCAttn: Compliance Administrator353890
3002269,Shake Shack,,STAFFORDSHIRE LLC A MASS,Shake Shack Massachusetts LLC,C/O License Logix,332   Washington ST,Boston,MA,02108,144698,+16465176145,0,0,Shake ShackShake Shack Massachusetts LLCC/O License Logix144698
3002270,Shaking Crab,,VENTOURIS EMILIOS TS,Chan,Susan,140   Boylston ST,Boston,MA,02116,18101,+16172564211,42.35228,-71.06622,Shaking CrabChanSusan18101
3002271,Shaking Seafood,,,1616 Dorchester Avenue LLC,Shi Zhong Lin,1616   Dorchester AVE,Dorchester,MA,02122,48361,+10000000000,42.2954,-71.06139,Shaking Seafood1616 Dorchester Avenue LLCShi Zhong Lin48361
3002272,Shaking Seafood,,,Lin,Shizhong,19  Poplar ST,Roslindale,MA,02131,399785,+10000000000,42.2954,-71.06139,Shaking SeafoodLinShizhong399785
3002273,Shamrock Pub,,,"O'leary",Aengus,501 E Eighth ST,South Boston,MA,02127,156339,+16177658075,42.331251,-71.041281,"Shamrock PubO'learyAengus156339"
3002274,Shanti Boston,,"",Shanti Boston L L C,"",4197   Washington ST,Roslindale,MA,02131,331492,+16173253900,42.28723,-71.12763,Shanti BostonShanti Boston L L C331492
3002275,Shanti Express,,,Chowdhury,Solmon,49   Warren ST,Roxbury,MA,02119,157037,+16178585747,42.329079,-71.083589,Shanti ExpressChowdhurySolmon157037
