DimB_SK,DimL_SK,DimV_SK,ViolationLevel
3000015,2000766,100256,2
3000015,2000766,100260,1
3000015,2000766,100304,2
3000015,2000766,100335,1
3000015,2000766,100376,1
3000015,2000766,100413,0
3000015,2000766,100417,3
3000015,2000766,100420,3
3000016,2002796,100000,0
3000016,2002796,100005,2
3000016,2002796,100006,2
3000016,2002796,100009,1
3000016,2002796,100013,3
3000016,2002796,100014,3
3000016,2002796,100018,1
3000016,2002796,100021,3
3000016,2002796,100023,1
3000016,2002796,100025,1
3000016,2002796,100030,3
3000016,2002796,100031,1
3000016,2002796,100032,1
3000016,2002796,100036,1
3000016,2002796,100038,1
3000016,2002796,100042,1
3000016,2002796,100044,1
3000016,2002796,100054,3
3000016,2002796,100055,1
3000016,2002796,100056,1
3000016,2002796,100059,1
3000016,2002796,100061,1
3000016,2002796,100075,1
3000016,2002796,100077,1
3000016,2002796,100083,1
3000016,2002796,100102,2
3000016,2002796,100107,1
3000016,2002796,100128,1
3000016,2002796,100166,3
3000016,2002796,100175,1
3000016,2002796,100182,3
3000016,2002796,100199,1
3000016,2002796,100208,2
3000016,2002796,100227,2
3000016,2002796,100231,1
3000016,2002796,100256,2
3000016,2002796,100335,1
3000016,2002796,100358,1
3000016,2002796,100366,1
3000016,2002796,100407,2
3000016,2002796,100415,3
3000016,2002796,100416,3
3000016,2002796,100417,3
3000016,2002796,100420,3
3000017,2001488,100000,0
3000017,2001488,100009,1
3000017,2001488,100033,1
3000017,2001488,100036,1
3000017,2001488,100037,1
3000017,2001488,100042,1
3000017,2001488,100043,2
3000017,2001488,100044,1
3000017,2001488,100046,1
3000017,2001488,100051,1
3000017,2001488,100055,1
3000017,2001488,100062,1
3000017,2001488,100064,1
3000017,2001488,100075,1
